Customer_ID,Income,Age,Marital_Status,Education_Level,Kidhome,Teenhome,Customer_Join_Date,Customer_Names,ROI,Impressions,CPC,CAC,Clicks
1,58138,63,Single,Graduation,0,0,2017-06-05 10:59:23,Ali Khan,0,3500,14.05853659,576.4,200
2,46344,66,Single,Graduation,1,1,2018-12-07 10:59:23,Ayesha Malik,0,2500,1.166666667,7,25
3,71613,55,Together,Graduation,0,0,2018-05-22 10:59:23,Hassan Raza,0,2800,5.114982578,209.7142857,280
4,26646,36,Together,Graduation,1,0,2018-11-11 10:59:23,Fatima Javed,0,4200,1.246753247,13.71428571,70
5,58293,39,Married,PhD,1,0,2018-10-20 10:59:23,Zain Ahmed,0,3500,4.472527473,116.2857143,175
6,62513,53,Together,Master,0,1,2018-06-10 10:59:23,Sana Tariq,0,3000,8.787096774,272.4,150
7,55635,49,Divorced,Graduation,0,1,2017-08-14 10:59:23,Umar Farooq,0,4200,4.468253968,160.8571429,245
8,33454,35,Married,PhD,1,0,2018-02-06 10:59:23,Nadia Iqbal,0,5600,1.986394558,41.71428571,140
9,30351,46,Together,PhD,1,0,2018-03-07 10:59:23,Bilal Hussain,0,4500,1.0625,17,75
10,5648,70,Together,PhD,1,1,2018-12-12 10:59:23,Hina Shah,1,10000,1.183333333,7.1,25
11,7500,44,Married,Basic,0,0,2017-08-14 10:59:23,Kamran Aslam,0,4000,1.145454545,12.6,50
12,63033,61,Divorced,Graduation,0,0,2018-08-16 10:59:23,Rabia Noor,0,1400,19.14285714,306.2857143,105
13,59354,68,Divorced,Master,1,1,2018-08-16 10:59:23,Tariq Mehmood,0,4200,2.728110599,84.57142857,210
14,17323,33,Married,Graduation,0,0,2017-07-11 10:59:23,Saima Gul,0,5600,1.952380952,11.71428571,35
15,82800,74,Single,PhD,0,0,2017-08-25 10:59:23,Shahzad Anwar,2,2100,3.35978836,120.952381,245
16,41850,40,Married,Graduation,1,1,2017-09-24 10:59:23,Mariam Yousaf,0,5600,1.642857143,26.28571429,105
17,37760,74,Together,Graduation,0,0,2017-06-01 10:59:23,Imran Qureshi,0,4900,3.931972789,82.57142857,140
18,76995,71,Married,Master,0,1,2017-12-27 10:59:23,Bushra Ansari,1,3000,4.779761905,267.6666667,330
19,33812,35,Single,2n Cycle,1,0,2017-08-04 10:59:23,Naveed Akhtar,0,4200,2.441558442,26.85714286,70
20,37040,38,Married,Graduation,0,0,2017-05-09 10:59:23,Asma Zafar,0,5600,3.646258503,76.57142857,140
21,2447,41,Married,Graduation,1,0,2017-10-07 10:59:23,Ali Khan,0,300,1151.333333,1151.333333,0
22,58607,71,Married,PhD,0,1,2017-09-23 10:59:23,Ayesha Malik,1,3200,21.65909091,238.25,40
23,65324,66,Married,PhD,0,1,2018-10-12 10:59:23,Hassan Raza,0,2400,5.795698925,179.6666667,180
24,40689,69,Together,Graduation,0,1,2017-12-17 10:59:23,Fatima Javed,0,5600,2.738095238,98.57142857,245
25,18589,51,Single,Graduation,0,0,2017-10-03 10:59:23,Zain Ahmed,0,4900,1.61038961,17.71428571,70
26,53359,44,Married,Graduation,1,1,2018-02-25 10:59:23,Sana Tariq,0,4900,2.373626374,61.71428571,175
27,38360,31,Married,Graduation,1,0,2018-03-01 10:59:23,Umar Farooq,0,2100,3.142857143,34.57142857,70
28,84618,55,Married,PhD,0,0,2018-08-23 10:59:23,Nadia Iqbal,1,1200,8.989247312,278.6666667,180
29,10979,31,Divorced,Master,0,0,2019-02-20 10:59:23,Bilal Hussain,0,2500,0.575,9.2,75
30,38620,57,Together,Master,0,0,2018-02-09 10:59:23,Hina Shah,0,2100,5.948051948,65.42857143,70
31,40548,50,Together,Graduation,0,1,2017-07-11 10:59:23,Kamran Aslam,1,2500,2.127272727,23.4,50
32,46610,68,Divorced,PhD,0,2,2017-07-30 10:59:23,Rabia Noor,0,3600,3.349206349,70.33333333,120
33,68657,74,Married,Master,0,0,2017-11-21 10:59:23,Tariq Mehmood,0,4900,20.96428571,335.4285714,105
34,49389,69,Single,Master,1,1,2018-05-30 10:59:23,Saima Gul,0,4200,1.878787879,20.66666667,60
35,67353,50,Married,PhD,0,1,2018-10-01 10:59:23,Shahzad Anwar,0,1200,11.25641026,292.6666667,150
36,23718,44,Married,2n Cycle,1,0,2018-06-03 10:59:23,Mariam Yousaf,0,4900,0.803571429,12.85714286,105
37,42429,47,Widow,Graduation,0,1,2018-11-12 10:59:23,Imran Qureshi,0,2500,4.2,25.2,25
38,48948,77,Divorced,PhD,0,0,2017-11-02 10:59:23,Bushra Ansari,1,4200,3.412698413,122.8571429,245
39,80011,40,Married,Graduation,0,1,2018-01-28 10:59:23,Naveed Akhtar,0,2800,9.010452962,369.4285714,280
40,20559,35,Married,Master,1,0,2017-12-11 10:59:23,Asma Zafar,0,4800,1.393939394,15.33333333,60
41,21994,63,Together,Graduation,0,1,2017-09-24 10:59:23,Ali Khan,0,2500,7,7,0
42,7500,45,Married,Master,1,0,2018-07-03 10:59:23,Ayesha Malik,0,3000,0.53030303,5.833333333,60
43,79941,44,Single,Graduation,0,0,2019-03-29 10:59:23,Hassan Raza,0,700,21.03896104,231.4285714,70
44,7500,24,Married,2n Cycle,0,0,2017-08-10 10:59:23,Fatima Javed,0,5400,1.270833333,20.33333333,90
45,41728,52,Together,Graduation,1,0,2018-02-22 10:59:23,Zain Ahmed,0,6000,1.075757576,11.83333333,60
46,72550,66,Married,PhD,1,1,2017-08-09 10:59:23,Sana Tariq,0,4000,19.03076923,494.8,125
47,65486,63,Widow,Graduation,0,1,2019-02-10 10:59:23,Umar Farooq,0,1400,6.707482993,140.8571429,140
48,79143,56,Married,Master,0,0,2017-05-12 10:59:23,Nadia Iqbal,0,2100,15.30875576,474.5714286,210
49,35790,43,Single,Graduation,1,0,2017-10-03 10:59:23,Bilal Hussain,0,4900,1.792207792,19.71428571,70
50,82582,43,Divorced,Graduation,0,0,2019-03-08 10:59:23,Hina Shah,2,700,6.240362812,131.047619,140
51,66373,42,Married,Graduation,1,1,2018-03-13 10:59:23,Kamran Aslam,0,2100,6.761904762,142,140
52,82384,65,Together,Master,0,0,2017-08-20 10:59:23,Rabia Noor,1,700,15.77678571,252.4285714,105
53,70287,54,Divorced,Graduation,0,0,2018-01-01 10:59:23,Tariq Mehmood,0,2100,11.57142857,300.8571429,175
54,27938,32,Single,Graduation,1,0,2019-01-27 10:59:23,Saima Gul,0,1800,1.333333333,8,30
55,55954,52,Married,PhD,0,1,2018-12-02 10:59:23,Shahzad Anwar,0,2800,5.792682927,237.5,160
56,75777,38,Single,Master,0,0,2018-04-04 10:59:23,Mariam Yousaf,2,700,8.083333333,129.3333333,105
57,66653,45,Together,Graduation,1,1,2017-06-08 10:59:23,Imran Qureshi,0,1800,9.476190476,199,120
58,61823,68,Single,Graduation,0,1,2017-11-19 10:59:23,Bushra Ansari,0,4900,4.982578397,204.2857143,280
59,67680,69,Widow,PhD,0,1,2018-03-12 10:59:23,Naveed Akhtar,0,2000,8.291666667,298.5,140
60,70666,72,Together,Graduation,0,0,2018-09-06 10:59:23,Asma Zafar,0,2800,8.301587302,298.8571429,245
61,25721,49,Married,Graduation,1,0,2018-02-19 10:59:23,Ali Khan,0,3500,0.966666667,5.8,25
62,32474,53,Together,Graduation,1,1,2019-02-09 10:59:23,Ayesha Malik,0,2100,1.222222222,7.333333333,15
63,88194,41,Single,2n Cycle,0,1,2018-12-18 10:59:23,Hassan Raza,2,3500,2.102040816,117.7142857,385
64,69096,62,Together,Graduation,0,1,2018-06-28 10:59:23,Fatima Javed,0,2800,5.978021978,155.4285714,175
65,74854,50,Together,Graduation,1,2,2018-01-07 10:59:23,Zain Ahmed,0,3500,38.67532468,425.4285714,70
66,66991,66,Married,Master,0,0,2017-06-12 10:59:23,Sana Tariq,0,2100,16.88435374,354.5714286,140
67,65031,61,Married,Graduation,0,1,2017-12-16 10:59:23,Umar Farooq,0,4900,4.352941176,222,350
68,60631,45,Married,PhD,1,1,2018-01-04 10:59:23,Nadia Iqbal,1,3500,2.77826087,127.8,225
69,28332,68,Married,Graduation,0,0,2019-01-29 10:59:23,Bilal Hussain,0,1400,1.454545455,16,70
70,40246,43,Divorced,Graduation,1,0,2017-09-19 10:59:23,Hina Shah,0,2400,0.833333333,5,20
71,75251,48,Married,Master,0,0,2017-05-28 10:59:23,Kamran Aslam,0,3000,17.25,621,210
72,75825,44,Single,Graduation,0,0,2017-07-13 10:59:23,Rabia Noor,1,2400,13.49679487,350.9166667,150
73,26326,44,Together,2n Cycle,0,0,2018-06-05 10:59:23,Tariq Mehmood,0,1200,4.5,4.5,0
74,56046,55,Together,Graduation,0,0,2017-10-03 10:59:23,Saima Gul,1,3200,3.142156863,160.25,200
75,29760,35,Single,Graduation,1,0,2017-05-30 10:59:23,Shahzad Anwar,0,5600,2.642857143,42.28571429,105
76,26304,51,Married,Graduation,1,0,2018-03-24 10:59:23,Mariam Yousaf,0,3500,0.666666667,4,25
77,23559,47,Married,2n Cycle,1,0,2018-04-03 10:59:23,Imran Qureshi,0,4200,1.166666667,18.66666667,90
78,38620,57,Together,Master,0,0,2018-02-09 10:59:23,Bushra Ansari,0,2100,5.948051948,65.42857143,70
79,81361,33,Divorced,Graduation,0,0,2018-11-26 10:59:23,Naveed Akhtar,0,700,12.53571429,200.5714286,105
80,29440,60,Married,Graduation,1,1,2018-05-12 10:59:23,Asma Zafar,0,4900,2.523809524,15.14285714,35
81,36138,50,Married,Master,1,1,2018-04-16 10:59:23,Ali Khan,1,2800,2.28125,36.5,60
82,50388,63,Single,Graduation,0,1,2019-02-26 10:59:23,Ayesha Malik,2,4200,1.211469534,37.55555556,180
83,79593,47,Married,Graduation,0,0,2019-02-10 10:59:23,Hassan Raza,1,1400,6.708791209,174.4285714,175
84,54178,53,Together,Graduation,0,1,2018-10-22 10:59:23,Fatima Javed,0,1200,5.666666667,62.33333333,60
85,42394,48,Single,Master,1,0,2018-12-22 10:59:23,Zain Ahmed,0,4200,1.555555556,9.333333333,30
86,23626,50,Married,PhD,1,0,2019-02-22 10:59:23,Sana Tariq,0,2000,1.34375,21.5,60
87,30096,37,Married,Graduation,1,0,2019-02-20 10:59:23,Umar Farooq,0,3600,1.015151515,11.16666667,60
88,47916,60,Widow,Graduation,0,1,2017-08-23 10:59:23,Nadia Iqbal,1,2400,3.6875,132.75,140
89,51813,48,Divorced,Graduation,1,1,2018-01-10 10:59:23,Bilal Hussain,0,3500,2.181818182,24,50
90,78497,69,Married,2n Cycle,0,0,2018-09-01 10:59:23,Hina Shah,1,1200,4.83974359,125.8333333,150
91,50150,37,Married,PhD,0,0,2018-03-21 10:59:23,Kamran Aslam,0,3500,4.384615385,114,175
92,47823,60,Single,2n Cycle,0,1,2018-04-23 10:59:23,Rabia Noor,0,4800,1.863636364,20.5,60
93,34554,61,Single,PhD,0,1,2018-12-29 10:59:23,Tariq Mehmood,0,3600,1.515151515,16.66666667,60
94,85693,41,Together,Graduation,0,1,2018-01-19 10:59:23,Saima Gul,0,3500,6.571428571,302.2857143,315
95,65846,75,Married,PhD,0,0,2018-02-15 10:59:23,Shahzad Anwar,0,2400,10.73655914,332.8333333,180
96,87195,61,Married,Graduation,0,0,2019-02-06 10:59:23,Mariam Yousaf,0,700,18.91071429,302.5714286,105
97,24594,41,Together,Basic,1,0,2018-09-10 10:59:23,Imran Qureshi,0,3000,1.111111111,6.666666667,30
98,49096,56,Married,Graduation,1,1,2018-06-25 10:59:23,Bushra Ansari,0,4200,2.849206349,59.83333333,120
99,52413,51,Married,Graduation,0,2,2017-11-03 10:59:23,Naveed Akhtar,0,4200,7.788018433,241.4285714,210
100,38557,42,Single,Graduation,1,0,2017-09-19 10:59:23,Asma Zafar,0,4200,2.416666667,38.66666667,90
101,89058,60,Married,Master,0,0,2017-09-07 10:59:23,Ali Khan,0,1400,8.868131868,230.5714286,175
102,77298,41,Together,Graduation,0,1,2018-08-03 10:59:23,Ayesha Malik,0,2100,8.202764977,254.2857143,210
103,68126,29,Single,PhD,0,0,2017-08-11 10:59:23,Hassan Raza,1,6300,6.880952381,247.7142857,245
104,57288,57,Together,Master,0,1,2019-03-26 10:59:23,Fatima Javed,1,2400,3.341463415,137,160
105,86037,29,Single,Graduation,0,0,2017-10-03 10:59:23,Zain Ahmed,2,2100,2.175115207,67.42857143,210
106,43974,40,Married,PhD,1,0,2017-09-12 10:59:23,Sana Tariq,0,2800,7.725806452,239.5,120
107,50785,58,Single,Graduation,1,1,2018-06-11 10:59:23,Umar Farooq,0,3000,3.145454545,34.6,50
108,90765,50,Married,Graduation,0,0,2018-10-25 10:59:23,Nadia Iqbal,2,700,7.66893424,161.047619,140
109,36550,42,Married,2n Cycle,1,0,2017-11-20 10:59:23,Bilal Hussain,0,6300,2.838509317,130.5714286,315
110,30753,53,Together,2n Cycle,1,1,2018-04-11 10:59:23,Hina Shah,0,3000,2.833333333,17,30
111,21918,51,Together,Graduation,1,0,2018-08-15 10:59:23,Kamran Aslam,0,4200,0.779220779,8.571428571,70
112,56129,67,Together,Master,0,1,2018-03-21 10:59:23,Rabia Noor,0,2400,6.322580645,196,180
113,32557,53,Single,Master,1,0,2018-11-25 10:59:23,Tariq Mehmood,0,3000,2.121212121,23.33333333,60
114,19510,35,Married,Master,2,0,2018-06-05 10:59:23,Saima Gul,0,3500,1.3,7.8,25
115,30992,44,Divorced,Graduation,1,0,2018-01-21 10:59:23,Shahzad Anwar,0,4200,2.277777778,13.66666667,30
116,101970,37,Single,Graduation,0,0,2017-12-11 10:59:23,Mariam Yousaf,3,1400,2.228110599,69.07142857,210
117,71488,55,Together,2n Cycle,0,0,2017-11-19 10:59:23,Imran Qureshi,0,700,6.910714286,110.5714286,105
118,79607,36,Single,Graduation,0,0,2018-01-20 10:59:23,Bushra Ansari,0,600,35.5625,569,90
119,54348,67,Married,Master,1,1,2019-03-09 10:59:23,Naveed Akhtar,0,2400,3.909090909,43,40
120,77376,64,Together,PhD,1,1,2019-02-08 10:59:23,Asma Zafar,0,2400,6.913978495,214.3333333,180
121,62998,68,Married,Graduation,0,1,2018-07-01 10:59:23,Ali Khan,0,3000,4.820512821,125.3333333,150
